outer_id,gene,max_abs_coef,sign_by_class
1,RPL11,1.2742352653726914,"[1, -1, 0]"
1,RPL27,1.2570486037055582,"[0, 1, -1]"
1,CBX3,1.106778541011382,"[-1, 0, 1]"
1,RPL9,1.0480403574522554,"[0, 0, -1]"
1,HNRNPK,1.0299558839800984,"[1, 0, -1]"
1,DAD1,0.9410446351656715,"[-1, 1, -1]"
1,ABCF1,0.9181093270097376,"[-1, -1, 1]"
1,RPS24,0.8884155695709316,"[-1, 1, -1]"
1,MIR6805,0.8861488894343834,"[-1, 1, 1]"
1,FNTA,0.8567422988672648,"[1, -1, 1]"
1,SPAG7,0.7981891178121101,"[1, 0, -1]"
1,CTDNEP1,0.7540933327757864,"[1, -1, 0]"
1,GDI2,0.7203453963021957,"[-1, 1, 0]"
1,KARS,0.7071673373558779,"[-1, -1, 1]"
1,RNPS1,0.6941371845583836,"[-1, 0, 1]"
1,TARDBP,0.6879117218221564,"[1, -1, 1]"
1,ERH,0.6653738487049466,"[1, -1, 1]"
1,HINT1,0.6519277037579022,"[-1, 1, -1]"
1,STAT1,0.6124726187537604,"[-1, 1, 1]"
1,KAT7,0.608083019972391,"[0, 0, 1]"
1,SEPT2,0.5838997040782523,"[1, -1, 1]"
1,PRPF8,0.581138389086649,"[0, 1, -1]"
1,PARM1,0.5764332217926008,"[0, 0, 1]"
1,GATC,0.5669508401961436,"[-1, 0, 1]"
1,HIST1H3B,0.5604313664203033,"[0, -1, 0]"
1,RPS25,0.5576496403085515,"[-1, 1, 0]"
1,NBEAL1,0.5414423824825109,"[0, 1, -1]"
1,FAU,0.5186587601619708,"[-1, 0, 1]"
1,RPL10A,0.5174894998210955,"[-1, 0, 0]"
1,PARK7,0.5056009334720941,"[1, 0, -1]"
1,RHOA,0.5046245682685743,"[1, -1, 1]"
1,RBM34,0.47908567786970513,"[0, -1, 0]"
1,ZNF146,0.43210148626164757,"[0, -1, 1]"
1,HNRNPC,0.42405451395132593,"[0, 0, -1]"
1,RPL35,0.42159895095702454,"[-1, 0, 1]"
1,PSMB2,0.4210943592458497,"[-1, -1, 1]"
1,FLRT1,0.4171095806073057,"[0, 0, -1]"
1,RPS27A,0.4089714057920079,"[1, -1, 0]"
1,ATP6V0B,0.40774226177788003,"[-1, 1, -1]"
1,SART3,0.4060265610843291,"[-1, 1, 0]"
1,EEF1D,0.40069922970081945,"[0, 1, 0]"
1,PGGT1B,0.3614868968775545,"[1, 0, 0]"
1,ARF1,0.36106705866374394,"[-1, 1, -1]"
1,C11orf58,0.35631802482197267,"[1, 0, -1]"
1,SMNDC1,0.3411541767874878,"[1, 0, -1]"
1,BRAF,0.3387988870400205,"[0, 1, 0]"
1,ST3GAL6,0.3361000184561979,"[0, 0, -1]"
1,TAF10,0.32822444150452096,"[1, -1, 0]"
1,LOC100508408,0.3272577006316213,"[0, 1, -1]"
1,DPYS,0.32670329303304424,"[1, 0, 0]"
1,MRPL20,0.31626515393170435,"[0, -1, 0]"
1,RPL37,0.3076649357953779,"[1, -1, 0]"
1,ITIH4,0.3074864458058877,"[1, -1, 0]"
1,RP11-278J20.2,0.3018155512578903,"[1, -1, 0]"
1,CAPNS1,0.301598323810834,"[0, 1, -1]"
1,TYW1,0.3001189150875149,"[0, 0, -1]"
1,TMEM255A,0.2955644947108357,"[1, -1, 0]"
1,RPS7,0.2914092449065753,"[-1, 0, 1]"
1,IBA57,0.28861064247256324,"[-1, 0, 0]"
1,STARD7,0.28655235719731176,"[0, -1, 1]"
1,CDK2,0.27625634251422393,"[-1, 1, 0]"
1,RP5-1184F4.5,0.2744512549739983,"[0, 1, 0]"
1,SAMD4B,0.27410149540230777,"[0, 1, -1]"
1,RAB11FIP5,0.2737244759797017,"[1, 0, 0]"
1,JTB,0.2715865596651197,"[-1, 1, 0]"
1,ABCC8,0.2708556141315318,"[1, 0, 0]"
1,RPL34,0.26548743848959316,"[0, 1, -1]"
1,CPA4,0.26422280342906945,"[1, 0, 0]"
1,FANCE,0.2587452025528956,"[0, -1, 0]"
1,SNX3,0.2561694013083973,"[0, -1, 1]"
1,RCN1,0.2550905307973123,"[0, 0, 1]"
1,ZNF443,0.24623552085329725,"[0, 0, 1]"
1,DFFA,0.24566180494848042,"[0, -1, 1]"
1,ANKRD2,0.24282298405036246,"[-1, 1, 0]"
1,TNFRSF10C,0.2427824250421007,"[0, 0, -1]"
1,SLC8A1,0.2415694117080797,"[-1, 0, 0]"
1,GPR25,0.2387081650013424,"[0, 0, 1]"
1,LOC100506571,0.23731180048836112,"[1, -1, 0]"
1,DDX5,0.23426181458469983,"[1, -1, 0]"
